# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
1.728000000000e+05 1.208997181080e+18 0.000000000000e+00 2.002600000000e-08 3.0 Chandra
7.776000000000e+05 1.208997181080e+18 1.413600000000e-07 3.887400000000e-08 0.0 Chandra
1.296000000000e+06 1.208997181080e+18 1.767000000000e-07 3.534000000000e-08 0.0 Chandra
1.382400000000e+06 1.208997181080e+18 1.590300000000e-07 3.534000000000e-08 0.0 Chandra
5.356800000000e+04 1.208997181080e+18 0.000000000000e+00 3.180600000000e-06 3.0 Swift
8.899200000000e+04 1.208997181080e+18 0.000000000000e+00 2.120400000000e-06 3.0 Swift
4.302720000000e+05 1.208997181080e+18 0.000000000000e+00 1.178000000000e-06 3.0 Swift
4.959360000000e+05 1.208997181080e+18 0.000000000000e+00 8.246000000000e-07 3.0 Swift
5.590080000000e+05 1.208997181080e+18 0.000000000000e+00 8.246000000000e-07 3.0 Swift
6.048000000000e+04 1.208997181080e+18 0.000000000000e+00 5.890000000000e-07 3.0 NuSTAR
3.715200000000e+05 1.208997181080e+18 0.000000000000e+00 4.123000000000e-07 3.0 NuSTAR
1.641600000000e+06 1.208997181080e+18 0.000000000000e+00 3.534000000000e-07 3.0 NuSTAR
3.024000000000e+06 1.208997181080e+18 0.000000000000e+00 3.534000000000e-07 3.0 NuSTAR
9.417600000000e+06 1.208997181080e+18 9.188400000000e-07 1.413600000000e-07 0.0 Chandra
1.326240000000e+07 1.208997181080e+18 1.095540000000e-06 1.767000000000e-07 0.0 Chandra
1.356480000000e+07 1.208997181080e+18 1.166220000000e-06 1.767000000000e-07 0.0 Chandra
1.382400000000e+07 1.208997181080e+18 9.895200000000e-07 1.767000000000e-07 0.0 Chandra
1.391040000000e+07 1.208997181080e+18 6.714600000000e-07 1.767000000000e-07 0.0 Chandra
1.425600000000e+07 1.208997181080e+18 6.361200000000e-07 1.767000000000e-07 0.0 Chandra
1.162080000000e+07 1.208997181080e+18 7.421400000000e-07 1.767000000000e-07 0.0 XMM
1.408320000000e+07 1.208997181080e+18 6.714600000000e-07 1.060200000000e-07 0.0 XMM
1.080000000000e+06 4.030010189542e+14 0.000000000000e+00 9.181317249770e-04 3.0 i
1.598400000000e+06 4.030010189542e+14 0.000000000000e+00 7.636687059359e-04 3.0 i
9.504000000000e+06 5.081228101695e+14 9.638872795533e-05 1.242882189487e-05 0.0 F606W
1.183680000000e+07 5.081228101695e+14 6.309954809189e-05 1.452920788110e-05 0.0 F606W
1.434240000000e+07 5.081228101695e+14 0.000000000000e+00 1.815500000000e-05 2.0 F606W
2.531520000000e+05 1.200000000000e+09 0.000000000000e+00 3.266666666667e-02 3.0 Radio
2.885760000000e+05 3.000000000000e+09 0.000000000000e+00 1.066666666667e-02 3.0 Radio
1.418688000000e+06 3.000000000000e+09 1.900000000000e-02 6.000000000000e-03 0.0 Radio
1.502496000000e+06 3.000000000000e+09 1.500000000000e-02 4.000000000000e-03 0.0 Radio
1.583712000000e+06 3.000000000000e+09 1.500000000000e-02 4.000000000000e-03 0.0 Radio
1.931904000000e+06 3.000000000000e+09 2.300000000000e-02 3.000000000000e-03 0.0 Radio
2.096064000000e+06 3.000000000000e+09 2.600000000000e-02 3.000000000000e-03 0.0 Radio
2.697408000000e+06 3.000000000000e+09 3.400000000000e-02 4.000000000000e-03 0.0 Radio
